ChemicalId,Kg,RealKg,ScalerId,StartScale,EndScale
52,6000.00,5970.00,1042,2021-04-28 22:42:24.210,2021-04-28 22:42:40.017
52,6000.00,5980.00,1042,2021-04-29 04:57:52.720,2021-04-29 04:58:08.470
58,510.00,470.00,1051,2021-04-29 08:37:56.450,2021-04-29 08:38:00.423
51,12000.00,11950.00,1051,2021-04-29 08:39:11.523,2021-04-29 08:39:42.817
52,3000.00,2980.00,1051,2021-04-29 08:50:48.310,2021-04-29 08:50:57.060
52,3000.00,2980.00,1042,2021-04-29 12:59:59.757,2021-04-29 13:00:09.417
64,3000.00,2960.00,1042,2021-04-29 13:01:13.157,2021-04-29 13:01:21.170
51,32000.00,31950.00,1042,2021-04-28 23:33:40.130,2021-04-28 23:33:58.133
52,8000.00,7960.00,1042,2021-04-28 23:34:35.840,2021-04-28 23:34:56.497
58,2664.00,2620.00,1042,2021-04-28 23:35:12.410,2021-04-28 23:35:25.950
64,8000.00,7950.00,1042,2021-04-28 23:35:49.190,2021-04-28 23:36:07.443
51,12000.00,11950.00,1051,2021-05-03 11:50:31.160,2021-05-03 11:51:05.427
52,3000.00,3020.00,1051,2021-05-03 11:51:12.007,2021-05-03 11:51:20.880
58,999.00,960.00,1051,2021-05-03 13:07:54.840,2021-05-03 13:08:00.370
64,3000.00,2990.00,1051,2021-05-03 13:08:05.010,2021-05-03 13:08:13.137
58,3000.00,2950.00,1052,2021-05-06 18:34:05.707,2021-05-06 18:34:19.850
153,4020.00,3990.00,1052,2021-05-06 18:34:33.330,2021-05-06 18:34:47.753
71,1998.00,1970.00,1052,2021-05-06 18:35:00.873,2021-05-06 18:35:12.770
51,24000.00,23950.00,1042,2021-05-06 21:37:43.553,2021-05-06 21:38:15.227
52,6000.00,5950.00,1042,2021-05-06 22:14:20.493,2021-05-06 22:14:35.573
52,6000.00,5970.00,1042,2021-05-07 04:53:43.580,2021-05-07 04:53:59.007
64,6000.00,5960.00,1042,2021-05-07 04:54:25.997,2021-05-07 04:54:40.133
58,1998.00,1950.00,1052,2021-05-06 18:36:17.037,2021-05-06 18:36:27.013
51,24000.00,23960.00,1042,2021-05-06 21:48:58.577,2021-05-06 21:49:28.067
52,4080.00,4030.00,1042,2021-05-06 22:13:39.367,2021-05-06 22:13:50.487
52,4080.00,4070.00,1042,2021-05-07 02:21:00.327,2021-05-07 02:21:11.493
64,6000.00,6020.00,1042,2021-05-07 02:21:19.050,2021-05-07 02:21:33.217
58,1020.00,970.00,1052,2021-05-07 15:56:19.553,2021-05-07 15:56:25.120
51,24000.00,23950.00,1042,2021-05-07 19:42:00.143,2021-05-07 19:42:29.473
52,6000.00,5960.00,1042,2021-05-07 20:05:22.333,2021-05-07 20:05:38.443
52,6000.00,5980.00,1042,2021-05-07 23:38:44.853,2021-05-07 23:38:59.840
58,3000.00,2970.00,1053,2021-05-12 12:04:26.683,2021-05-12 12:04:39.910
71,1020.00,990.00,1053,2021-05-12 12:04:45.233,2021-05-12 12:04:50.833
147,1500.00,1470.00,1053,2021-05-12 12:04:59.680,2021-05-12 12:05:04.860
51,32000.00,31950.00,1042,2021-05-13 09:17:41.250,2021-05-13 09:18:26.293
52,8000.00,7970.00,1042,2021-05-13 09:47:31.780,2021-05-13 09:47:55.870
